Pursuit Number    Onset_sample, Offset_sample, Onset_x_pos, Onset_y_pos, Offset_x_pos, Offset_y_pos  
138   ,1029   ,1029     ,10.24  ,-0.79  ,10.24  ,-0.79 
139   ,1033   ,1033     ,10.67  ,-0.47  ,10.67  ,-0.47 
140   ,1036   ,1036     ,10.18  ,-0.68  ,10.18  ,-0.68 
141   ,1047   ,1047     ,10.36  ,-0.45  ,10.36  ,-0.45 
142   ,1050   ,1050     ,10.64  ,-0.34  ,10.64  ,-0.34 
143   ,1052   ,1053     ,10.28  ,-0.34  ,10.15  ,-0.58 
144   ,1067   ,1067     ,10.29  ,-0.37  ,10.29  ,-0.37 
145   ,1090   ,1090     ,10.64  ,-0.18  ,10.64  ,-0.18 
146   ,1129   ,1131     ,-9.13  ,-0.45  ,-10.12  ,-0.13 
147   ,1152   ,1153     ,-10.18  ,-0.16  ,-10.15  ,-0.45 
148   ,1160   ,1160     ,-9.93  ,-0.89  ,-9.93  ,-0.89 
149   ,1169   ,1169     ,-10.06  ,-0.87  ,-10.06  ,-0.87 
150   ,1173   ,1173     ,-10.06  ,-0.74  ,-10.06  ,-0.74 
151   ,1184   ,1184     ,-10.11  ,-0.74  ,-10.11  ,-0.74 
152   ,1186   ,1186     ,-10.08  ,-0.97  ,-10.08  ,-0.97 
153   ,1197   ,1197     ,11.70  ,-0.63  ,11.70  ,-0.63 
154   ,1200   ,1200     ,11.27  ,-0.84  ,11.27  ,-0.84 
155   ,1207   ,1207     ,10.82  ,-1.05  ,10.82  ,-1.05 
156   ,1215   ,1215     ,10.82  ,-0.97  ,10.82  ,-0.97 
157   ,1230   ,1230     ,10.51  ,-0.81  ,10.51  ,-0.81 
158   ,1232   ,1232     ,10.51  ,-0.66  ,10.51  ,-0.66 
159   ,1237   ,1237     ,10.69  ,-0.68  ,10.69  ,-0.68 
160   ,1241   ,1241     ,10.61  ,-0.87  ,10.61  ,-0.87 
161   ,1243   ,1243     ,10.31  ,-0.97  ,10.31  ,-0.97 
162   ,1259   ,1259     ,10.74  ,-1.23  ,10.74  ,-1.23 
163   ,1266   ,1266     ,10.43  ,-1.57  ,10.43  ,-1.57 
164   ,1268   ,1268     ,10.59  ,-1.10  ,10.59  ,-1.10 
165   ,1286   ,1286     ,10.46  ,-0.92  ,10.46  ,-0.92 
166   ,1289   ,1289     ,10.57  ,-0.89  ,10.57  ,-0.89 
167   ,1295   ,1295     ,10.34  ,-0.79  ,10.34  ,-0.79 
168   ,1307   ,1307     ,10.46  ,-0.74  ,10.46  ,-0.74 
169   ,1336   ,1336     ,-6.75  ,-0.89  ,-6.75  ,-0.89 
170   ,1338   ,1338     ,-7.01  ,-0.60  ,-7.01  ,-0.60 
171   ,1347   ,1347     ,-6.44  ,-0.45  ,-6.44  ,-0.45 
172   ,1352   ,1352     ,-9.76  ,-0.39  ,-9.76  ,-0.39 
173   ,1355   ,1355     ,-9.83  ,-0.32  ,-9.83  ,-0.32 
174   ,1357   ,1357     ,-9.68  ,-0.45  ,-9.68  ,-0.45 
175   ,1373   ,1373     ,-9.65  ,-0.53  ,-9.65  ,-0.53 
176   ,1386   ,1387     ,-9.73  ,-0.18  ,-9.93  ,-0.34 
177   ,1392   ,1392     ,-9.88  ,0.00  ,-9.88  ,0.00 
178   ,1399   ,1399     ,-9.78  ,-0.13  ,-9.78  ,-0.13 
179   ,1406   ,1406     ,-9.83  ,-0.39  ,-9.83  ,-0.39 
180   ,1413   ,1413     ,-9.90  ,-0.39  ,-9.90  ,-0.39 
181   ,1440   ,1440     ,-9.65  ,-0.60  ,-9.65  ,-0.60 
182   ,1461   ,1461     ,8.75  ,-0.24  ,8.75  ,-0.24 
183   ,1469   ,1469     ,8.96  ,-0.47  ,8.96  ,-0.47 
184   ,1475   ,1475     ,10.66  ,-0.42  ,10.66  ,-0.42 
185   ,1525   ,1525     ,10.03  ,-0.76  ,10.03  ,-0.76 
186   ,1555   ,1555     ,-7.03  ,-0.08  ,-7.03  ,-0.08 
187   ,1563   ,1563     ,-6.80  ,0.11  ,-6.80  ,0.11 
188   ,1588   ,1588     ,-9.96  ,0.21  ,-9.96  ,0.21 
189   ,1597   ,1597     ,-9.88  ,0.32  ,-9.88  ,0.32 
190   ,1610   ,1610     ,-9.75  ,0.11  ,-9.75  ,0.11 
191   ,1619   ,1619     ,-9.68  ,-0.13  ,-9.68  ,-0.13 
192   ,1635   ,1635     ,-9.93  ,-0.26  ,-9.93  ,-0.26 
193   ,1672   ,1673     ,11.47  ,0.26  ,11.75  ,0.13 
194   ,1676   ,1676     ,11.67  ,-0.08  ,11.67  ,-0.08 
195   ,1678   ,1679     ,11.12  ,0.03  ,10.74  ,0.21 
196   ,1684   ,1684     ,10.71  ,0.45  ,10.71  ,0.45 
197   ,1686   ,1686     ,10.59  ,0.13  ,10.59  ,0.13 
198   ,1736   ,1736     ,10.49  ,-0.24  ,10.49  ,-0.24 
199   ,1743   ,1743     ,9.96  ,-0.55  ,9.96  ,-0.55 
200   ,1750   ,1750     ,10.08  ,-0.84  ,10.08  ,-0.84 
201   ,1752   ,1752     ,9.90  ,-1.00  ,9.90  ,-1.00 
202   ,1754   ,1754     ,10.06  ,-0.74  ,10.06  ,-0.74 
203   ,1760   ,1760     ,9.90  ,-0.81  ,9.90  ,-0.81 
204   ,1763   ,1764     ,9.96  ,-0.95  ,9.96  ,-0.66 
205   ,1767   ,1767     ,9.90  ,-0.95  ,9.90  ,-0.95 
206   ,1769   ,1769     ,10.21  ,-0.45  ,10.21  ,-0.45 
207   ,1776   ,1776     ,9.88  ,-0.66  ,9.88  ,-0.66 
208   ,1778   ,1778     ,10.14  ,-0.76  ,10.14  ,-0.76 
209   ,1780   ,1780     ,10.04  ,-0.84  ,10.04  ,-0.84 
210   ,1784   ,1784     ,10.21  ,-0.53  ,10.21  ,-0.53 
211   ,1795   ,1795     ,10.06  ,-0.39  ,10.06  ,-0.39 
212   ,1797   ,1797     ,10.06  ,-0.74  ,10.06  ,-0.74 
213   ,1799   ,1800     ,10.11  ,-0.50  ,10.11  ,-0.50 
